group,n_models,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,cos_mean,cos_std,cos_min,cos_max,weight_norm_mean,gap_mean
poor,10,0.9093571484088898,0.01532971623532427,0.8620000064373017,0.009740399394860766,0.12260104,0.30846864,-0.0213941,0.99453413,0.5622509062290192,0.5766256481409073
medium,10,0.9862499952316284,0.004093752717490857,0.8592857122421265,0.009066389100836167,0.18146938,0.2893273,0.043893293,0.99925345,0.5517633736133576,0.4771486669778824
good,10,0.999571418762207,0.0004390359750437856,0.8610000073909759,0.008519689639374625,0.23767717,0.29909986,0.08745135,0.9998331,0.556757777929306,0.494101482629776
