group,n_models,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,cos_mean,cos_std,cos_min,cos_max,weight_norm_mean,gap_mean
poor,10,0.6083333432674408,0.04461771605775503,0.5249027013778687,0.018475084300237452,0.15632059,0.36193964,-0.017580258,0.9996564,0.5758601069450379,0.04297181265428656
medium,10,0.846666669845581,0.016292099916141847,0.4941634088754654,0.018158225076541964,0.18056233,0.38129315,-0.015141864,0.99991393,0.574409031867981,0.09406638443469996
good,10,0.9075000166893006,0.004730401591051141,0.5143968671560287,0.023187227824146478,0.1841509,0.37946442,-0.012158865,0.9999699,0.5766975343227386,0.10662651658058162
