group_a,group_b,mean_cos,std_cos,min_cos,max_cos
poor,medium,0.17987806,0.38241693,-0.017588357,0.9977268
poor,good,0.2292403,0.41805357,-0.017998971,0.9966365
medium,good,0.15262069,0.35582775,-0.0146008935,0.9998254
